no,type,status,summary,description
ISIS-1749,Bug,Closed,Allow domain object nature of XXX_ENTITY to be specified for JAXB view models,"as per

https://lists.apache.org/thread.html/0f731129a8975e793eefe16ac66cb0fc02849beab3f4db4daccefc4d@%3Cusers.isis.apache.org%3E"
ISIS-1748,Bug,Closed,Update HelloWorld & Simpleapp archetype to run under Eclipse,"add in 

<maven.compiler.source>1.8</maven.compiler.source>
<maven.compiler.target>1.8</maven.compiler.target>

and also the webserver reference (as per intellij)... maybe an additional mavendeps for this?

also https://lists.apache.org/thread.html/1dcb00ab4a36522d113e9294d8f679be88d111c5aa24f20769020fac@%3Cusers.isis.apache.org%3E

and https://lists.apache.org/thread.html/9f33738c59472e0e6ea47749e31b3650974bf01a78b84572cfca7620@%3Cusers.isis.apache.org%3E"
ISIS-1747,Improvement,Closed,"Update docs, hints-n-tips for view models","see https://github.com/incodehq/incode-platform/issues/10

~~~~~~~~~

here's the text that has been removed

## Demo App: Highlighting Current

As a by-the-by, the demo app has one further ""trick up its sleeve"".
If you run the app you'll notice that the currently selected `DemoObject` is highlighted in the left-hand table of the `HomePageViewModel`.

This is accomplished by having the view model collaborate with a subscribing domain service that configures a CSS class.

We start by ensuring that the `DemoObject` emits an event for its CSS class:

.DemoObject.java
````java
@DomainObjectLayout(
        ...
        cssClassUiEvent = DemoObject.CssClassUiEvent.class
)
public class DemoObject ... {

    public static class CssClassUiEvent
            extends org.apache.isis.applib.services.eventbus.CssClassUiEvent<DemoObject> {}
    ...
}
````

Next, we define the domain service to act as the subscriber.
Since it will be interact

.HomePageViewModel.java
````java
public class HomePageViewModel ... {

    @DomainService(nature = NatureOfService.DOMAIN)
    public static class CssHighlighter extends AbstractSubscriber {

        @EventHandler
        @Subscribe
        public void on(DemoObject.CssClassUiEvent ev) {
            if(getContext() == null) {
                return;
            }
            if(ev.getSource() == getContext().getSelected()) {      // <1>
                ev.setCssClass(""selected"");
            }
        }

        private HomePageViewModel getContext() {                    // <2>
            return (HomePageViewModel) scratchpad.get(""context"");
        }
        void setContext(final HomePageViewModel homePageViewModel) {
            scratchpad.put(""context"", homePageViewModel);
        }

        @Inject
        Scratchpad scratchpad;                                      // <3>
    }
}
````
<1> If the domain object is the currently selected then set the CSS class
<2> Provide methods to set and get the current `HomePageViewModel` (acting as the context)
<3> Store the context using the `Scratchpad` domain service (request-scoped so thread-safe).

The `HomePageViewModel` is responsible for setting itself as the context for the domain service:

.HomePageViewModel.java
````java
public class HomePageViewModel ... {
    ...
    public TranslatableString title() {
        cssHighlighter.setContext(this);    // <1>
        ...
    }
    ...
    @javax.inject.Inject
    CssHighlighter cssHighlighter;
}
````
<1> set the context on the domain service


Finally we just need some CSS, in the `application.css` file:


.application.css
````css
.selected {
    font-style: italic;
    font-weight: bolder;
}
````"
ISIS-1746,Improvement,Closed,Provide a default implementation of UserProfileService so that don't need special case logic in each viewer.,"currently don't have a default impl; the docs say:

If the method returns null or throws an exception then the framework will default to using the current user name.

"
ISIS-1745,Improvement,Closed,[CANNOT REPRODUCE] isis maven plugin (validate) swallows NPEs from DN.,"To reproduce:

due to an error in DN annotations, running mvn validate plugin just gave a very minimal exception:

{code}
[INFO] ------------------------------------------------------------------------
[INFO] BUILD FAILURE
[INFO] ------------------------------------------------------------------------
[INFO] Total time: 18.576 s
[INFO] Finished at: 2017-10-11T14:53:44+01:00
[INFO] Final Memory: 206M/710M
[INFO] ------------------------------------------------------------------------
[ERROR] Failed to execute goal org.apache.isis.tool:isis-maven-plugin:1.15.0.20170915-1224:validate (default) on project estatio-app: Execution default of goal org.apache.isis.tool:isis-maven-plugin:1.15.0.20170915-1224:validate failed: java.lang.NullPointerException -> [Help 1]
[ERROR]
[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.
[ERROR] Re-run Maven using the -X switch to enable full debug logging.
{code}

running with -X indicated the problem was in DN annotations somewhere:

{code}
[ERROR] Failed to execute goal org.apache.isis.tool:isis-maven-plugin:1.15.0.20170915-1224:validate (default) on project estatio-app: Execution default of goal org.apache.isis.tool:isis-maven-plugin:1.15.0.20170915-1224:validate failed: java.lang.NullPointerException -> [Help 1]
org.apache.maven.lifecycle.LifecycleExecutionException: Failed to execute goal org.apache.isis.tool:isis-maven-plugin:1.15.0.20170915-1224:validate (default) on project estatio-app: Execution default of goal org.apache.isis.tool:isis-maven-plugin:1.15.0.20170915-1224:validate failed: java.lang.NullPointerException
        at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:213)
        at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:154)
        at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:146)
        at org.apache.maven.lifecycle.internal.LifecycleModuleBuilder.buildProject(LifecycleModuleBuilder.java:117)
        at org.apache.maven.lifecycle.internal.LifecycleModuleBuilder.buildProject(LifecycleModuleBuilder.java:81)
        at org.apache.maven.lifecycle.internal.builder.singlethreaded.SingleThreadedBuilder.build(SingleThreadedBuilder.java:51)
        at org.apache.maven.lifecycle.internal.LifecycleStarter.execute(LifecycleStarter.java:128)
        at org.apache.maven.DefaultMaven.doExecute(DefaultMaven.java:309)
        at org.apache.maven.DefaultMaven.doExecute(DefaultMaven.java:194)
        at org.apache.maven.DefaultMaven.execute(DefaultMaven.java:107)
        at org.apache.maven.cli.MavenCli.execute(MavenCli.java:993)
        at org.apache.maven.cli.MavenCli.doMain(MavenCli.java:345)
        at org.apache.maven.cli.MavenCli.main(MavenCli.java:191)
        at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
        at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
        at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
        at java.lang.reflect.Method.invoke(Method.java:498)
        at org.codehaus.plexus.classworlds.launcher.Launcher.launchEnhanced(Launcher.java:289)
        at org.codehaus.plexus.classworlds.launcher.Launcher.launch(Launcher.java:229)
        at org.codehaus.plexus.classworlds.launcher.Launcher.mainWithExitCode(Launcher.java:415)
        at org.codehaus.plexus.classworlds.launcher.Launcher.main(Launcher.java:356)
Caused by: org.apache.maven.plugin.PluginExecutionException: Execution default of goal org.apache.isis.tool:isis-maven-plugin:1.15.0.20170915-1224:validate failed: java.lang.NullPointerException
        at org.apache.maven.plugin.DefaultBuildPluginManager.executeMojo(DefaultBuildPluginManager.java:145)
        at org.apache.maven.lifecycle.internal.MojoExecutor.execute(MojoExecutor.java:208)
        ... 20 more
Caused by: org.datanucleus.exceptions.NucleusException: java.lang.NullPointerException
        at org.datanucleus.store.rdbms.RDBMSStoreManager$ClassAdder.run(RDBMSStoreManager.java:2930)
        at org.datanucleus.store.rdbms.AbstractSchemaTransaction.execute(AbstractSchemaTransaction.java:119)
        at org.datanucleus.store.rdbms.RDBMSStoreManager.createSchemaForClasses(RDBMSStoreManager.java:3855)
        at org.apache.isis.core.runtime.system.persistence.DataNucleusApplicationComponents.createSchema(DataNucleusApplicationComponents.java:194)
        at org.apache.isis.core.runtime.system.persistence.DataNucleusApplicationComponents.createPmfAndSchemaIfRequired(DataNucleusApplicationComponents.java:1
{code}

It would be nice if the default validation error could provide more guidance here, ie to catch an NPE from DN and convert it into a suitable validation error.

to reproduce:

for https://github.com/estatio/estatio

{code}
git checkout 46739ac06
{code}

then

{code}
mvn clean install -DskipTests
{code}

or (to rerun subsequently):

{code}
mvn install -DskipTests -pl estatioapp/app 
{code}
"
ISIS-1744,Improvement,Closed,Update DataNucleus to the latest version (5.1.5 or later),"Please update dependencies to DataNucleus to the latest available versions:
org.datanucleus:datanucleus-core ...................... 4.1.7 -> 5.1.6
org.datanucleus:datanucleus-api-jdo ...................4.1.1 -> 5.1.4
org.datanucleus:datanucleus-jdo-query ...............4.0.5 -> 5.0.4
org.datanucleus:datanucleus-jodatime ................4.1.0-release -> 5.1.0-release
org.datanucleus:datanucleus-rdbms ....................4.1.9 -> 5.1.6"
ISIS-1743,Improvement,Closed,fa-Icon mapping for mixin provided methods not honored intuitively,"This example will not have the Action displayed with the font-awesome icon as mapped by e.g. remove.*:fa-minus-square ...

{code:java}
@Mixin
public class SimpleObject_removeEntries {

	...

	@Action
	public SimpleObject $$(	List<Entry> entries	) {

		...
		
		return holder;
	}
}
{code}

I believe this is counter-intuitive.
"
ISIS-1742,Improvement,Closed,"Remove deprecated annotations, methods etc.",
ISIS-1741,Bug,Closed,ConcurrentModificationException during startup when launching packaged webapp with jetty,"I get this exception (see attachment [^1741_applog.txt]) only when launching the version packaged with jetty, exception doesn't occur when launching within IDE (IntelliJ).

Maybe any idea? Not sure how could I reproduce it with simpleapp...."
ISIS-1740,New Feature,Closed,New Feature: Where am I,"Its common practice to display a navigation hint somewhere at top of an application's page or below the main menu, indicating where the user currently has navigated to. (Typically within a navigable tree-structure.) 

Let's call this the *WhereAmI hint*. We could integrate such a feature into ISIS.

+Examples+
[^Clipboard01.png]
[^Clipboard02.png]
[^Clipboard03.png]

Note: we could optionally include the DomainObject's icons

+Proposal+

For any DomainObject/View currently displayed ISIS would need to know its corresponding
navigable tree-structure. Let's call this the DomainObject's *WhereAmI tree*.

All the framework needs to known to build the relevant sub-tree, is to know the parent node of any DomainObject/View that 'takes part' in the tree.

We could provide this 'who is your parent' meta information similar to the existing 'what is your title' mechanism:

{code:java}
// Who is your parent? if null there is none
public AnyDomainObjectOrView parent()
{
    return foo;
}
{code}

or

{code:java}
// Who is your parent? if null there is none
@Parent
public AnyDomainObjectOrView anyMethodName()
{
    return foo;
}
{code}

The typical layout.xml could look like this:

{code:xml}
<bs3:grid >
    <bs3:row>
        <bs3:col span=""12"" unreferencedActions=""true"">
            <cpt:whereAmI />
            <cpt:domainObject />
            ...
        </bs3:col>
    </bs3:row>
     ...
</bs3:grid >
{code}

+Implementation Notes+

# The framework needs to ensure that the chain of parent references starting at the current DomainObject/View is finite. (No circular or self references.) If it detects a circle, be nice and just stop the 'tree-up' traversal there.
# For standalone Collection Views we could display a WhereAmI hint that allows back navigation to the DomainObject/View that had produced the collection.




"
ISIS-1739,Bug,Closed,DisableXxx() method is always called while hideXxx() returns true,"I have a contributed action that must be rendered on the first parameter's page (OrderAbstract) on top of the page but shouldn't be rendered on the other parameter's page.

public Blob downloadDealerQuotationAsPdf(final OrderAbstract order, final Contact recipient){
     Blob quotation = ...
     return quotation;
}
public String disableDownloadDealerQuotationAsPdf(final OrderAbstract order, final Contact recipient){
     if(order.getOrderLines().isEmpty()){
         return ""No orderline added yet"");
     }
     return null;
}
public boolean hideDownloadDealerQuotationAsPdf(final OrderAbstract order, final Contact recipient) {
     return order == null || !order.getCompany().hasDealer();
}

As far as I can see the disableXXX method wouldn't be called in Apache Isis 1.14.x when the Contact page was rendered, because this was suppressed by the fact that the action was already hidden by the hiddenXXX method. But now they're both called but when rendering the
Contact page it will fail due to a NPE on the first line of the disableXXX method so I have to change this method to

public String disableDownloadDealerQuotationAsPdf(final OrderAbstract order, final Contact recipient){
     if(order == null){
         return ""Some dummy reason"";
     }
     // actual disable conditions
     ...
}"
ISIS-1738,Bug,Closed,ObjectMember's compator is not transitive,"
If both elements are null, depending on the order they're passed as params, it would return one result or another.

It failed on the TimeSort in some cases, throwing the following stacktrace:

java.lang.IllegalArgumentException: Comparison method violates its general contract!
    at java.util.TimSort.mergeLo(TimSort.java:773)
    at java.util.TimSort.mergeAt(TimSort.java:510)
    at java.util.TimSort.mergeCollapse(TimSort.java:437)
    at java.util.TimSort.sort(TimSort.java:241)
    at java.util.Arrays.sort(Arrays.java:1438)
    at com.google.common.collect.Ordering.immutableSortedCopy(Ordering.java:888)
    at com.google.common.collect.FluentIterable.toSortedList(FluentIterable.java:501)
    at org.apache.isis.core.metamodel.services.grid.bootstrap3.GridSystemServiceBS3.validateAndNormalize(GridSystemServiceBS3.java:467)
    at org.apache.isis.core.metamodel.services.grid.GridSystemServiceAbstract.normalize(GridSystemServiceAbstract.java:165)
    at org.apache.isis.core.metamodel.services.grid.GridServiceDefault.normalize(GridServiceDefault.java:102)
    at org.apache.isis.core.metamodel.facets.object.grid.GridFacetDefault.load(GridFacetDefault.java:75)
    at org.apache.isis.core.metamodel.facets.object.grid.GridFacetDefault.getGrid(GridFacetDefault.java:65)
    at org.apache.isis.viewer.wicket.ui.components.collectioncontents.ajaxtable.CollectionContentsAsAjaxTablePanel.addPropertyColumnsIfRequired(CollectionContentsAsAjaxTablePanel.java:167)
    at org.apache.isis.viewer.wicket.ui.components.collectioncontents.ajaxtable.CollectionContentsAsAjaxTablePanel.buildGui(CollectionContentsAsAjaxTablePanel.java:102)
    at org.apache.isis.viewer.wicket.ui.components.collectioncontents.ajaxtable.CollectionContentsAsAjaxTablePanel.onInitialize(CollectionContentsAsAjaxTablePanel.java:80)
    at org.apache.wicket.Component.fireInitialize(Component.java:878)
    at org.apache.wicket.MarkupContainer.internalInitialize(MarkupContainer.java:1070)
    at org.apache.wicket.MarkupContainer.addedComponent(MarkupContainer.java:1047)
    at org.apache.wicket.MarkupContainer.add(MarkupContainer.java:241)
    at org.apache.wicket.MarkupContainer.addOrReplace(MarkupContainer.java:265)
    at org.apache.isis.viewer.wicket.ui.components.collectioncontents.multiple.CollectionContentsMultipleViewsPanel.addUnderlyingViews(CollectionContentsMultipleViewsPanel.java:118)
    at org.apache.isis.viewer.wicket.ui.components.collectioncontents.multiple.CollectionContentsMultipleViewsPanel.onInitialize(CollectionContentsMultipleViewsPanel.java:87)
    at org.apache.wicket.Component.fireInitialize(Component.java:878)
    at org.apache.wicket.MarkupContainer$3.component(MarkupContainer.java:1076)
    at org.apache.wicket.MarkupContainer$3.component(MarkupContainer.java:1072)
    at org.apache.wicket.util.visit.Visits.visitChildren(Visits.java:144)
    at org.apache.wicket.util.visit.Visits.visitChildren(Visits.java:162)
    at org.apache.wicket.util.visit.Visits.visitChildren(Visits.java:162)
    at org.apache.wicket.util.visit.Visits.visitChildren(Visits.java:162)
    at org.apache.wicket.util.visit.Visits.visitChildren(Visits.java:123)
    at org.apache.wicket.util.visit.Visits.visitChildren(Visits.java:192)
    at org.apache.wicket.MarkupContainer.visitChildren(MarkupContainer.java:983)
    at org.apache.wicket.MarkupContainer.internalInitialize(MarkupContainer.java:1071)
    at org.apache.wicket.Page.internalPrepareForRender(Page.java:240)
    at org.apache.wicket.Component.render(Component.java:2325)
    at org.apache.wicket.Page.renderPage(Page.java:1018)
    at org.apache.wicket.request.handler.render.WebPageRenderer.renderPage(WebPageRenderer.java:124)
    at org.apache.wicket.request.handler.render.WebPageRenderer.respond(WebPageRenderer.java:195)
    at org.apache.wicket.core.request.handler.RenderPageRequestHandler.respond(RenderPageRequestHandler.java:175)
    at org.apache.wicket.request.cycle.RequestCycle$HandlerExecutor.respond(RequestCycle.java:895)
    at org.apache.wicket.request.RequestHandlerStack.execute(RequestHandlerStack.java:64)
    at org.apache.wicket.request.cycle.RequestCycle.execute(RequestCycle.java:265)
    at org.apache.wicket.request.cycle.RequestCycle.processRequest(RequestCycle.java:222)
    at org.apache.wicket.request.cycle.RequestCycle.processRequestAndDetach(RequestCycle.java:293)
    at org.apache.wicket.protocol.http.WicketFilter.processRequestCycle(WicketFilter.java:261)
    at org.apache.wicket.protocol.http.WicketFilter.processRequest(WicketFilter.java:203)
    at org.apache.wicket.protocol.http.WicketFilter.doFilter(WicketFilter.java:284)
    at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1676)
    at org.apache.isis.core.webapp.diagnostics.IsisLogOnExceptionFilter.doFilter(IsisLogOnExceptionFilter.java:52)
    at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1676)
    at org.apache.shiro.web.servlet.AbstractShiroFilter.executeChain(AbstractShiroFilter.java:449)
    at org.apache.shiro.web.servlet.AbstractShiroFilter$1.call(AbstractShiroFilter.java:365)
    at org.apache.shiro.subject.support.SubjectCallable.doCall(SubjectCallable.java:90)
    at org.apache.shiro.subject.support.SubjectCallable.call(SubjectCallable.java:83)
    at org.apache.shiro.subject.support.DelegatingSubject.execute(DelegatingSubject.java:383)
    at org.apache.shiro.web.servlet.AbstractShiroFilter.doFilterInternal(AbstractShiroFilter.java:362)
    at org.apache.shiro.web.servlet.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:125)
    at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1668)
    at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:581)
    at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:143)
    at org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:548)
    at org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:226)
    at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1180)
    at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:511)
    at org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:185)
    at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1112)
    at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:141)
    at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:134)
    at org.eclipse.jetty.server.Server.handle(Server.java:524)
    at org.eclipse.jetty.server.HttpChannel.handle(HttpChannel.java:319)
    at org.eclipse.jetty.server.HttpConnection.onFillable(HttpConnection.java:253)
    at org.eclipse.jetty.io.AbstractConnection$ReadCallback.succeeded(AbstractConnection.java:273)
    at org.eclipse.jetty.io.FillInterest.fillable(FillInterest.java:95)
    at org.eclipse.jetty.io.SelectChannelEndPoint$2.run(SelectChannelEndPoint.java:93)
    at org.eclipse.jetty.util.thread.strategy.ExecuteProduceConsume.executeProduceConsume(ExecuteProduceConsume.java:303)
    at org.eclipse.jetty.util.thread.strategy.ExecuteProduceConsume.produceConsume(ExecuteProduceConsume.java:148)
    at org.eclipse.jetty.util.thread.strategy.ExecuteProduceConsume.run(ExecuteProduceConsume.java:136)
    at org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:671)
    at org.eclipse.jetty.util.thread.QueuedThreadPool$2.run(QueuedThreadPool.java:589)
    at java.lang.Thread.run(Thread.java:745)
"
ISIS-1737,Bug,Closed,Hiding of elements doesn't work on interfaces,"Hi,

While upgrading to Apache Isis 1.15.0 I noticed hiding didn't work
anymore on properties represented by an interface. In the following
example the String will be hidden but the HideMe-property will not:

public HideMe getInterfaceToBeHidden(){
         return null;
     }
     public boolean hideInterfaceToBeHidden(){
         return true;
     }
     public String getStringToBeHidden(){
         return ""foo"";
     }
     public boolean hideStringToBeHidden(){
         return true;
     }

With Apache Isis 1.14.x this works as expected."
ISIS-1736,Bug,Closed,ConfigurationServiceDefault is inconsistent,"This class is confusing, it has its own properties Map which it uses for some methods and then defers to an injected  ConfigurationServiceInternal reference for others.

I am using it in a fixture and it will not find a property using getProperty(String) which is using ConfigurationServiceInternal reference but will find it if I use getProperties() and loop through the entries returned 
//doesn't find key
String xml = configurationService.getProperty(""au.com.vuse.oneid.fixtures.companyinputfile"");
//does find key
for (ConfigurationProperty str : configurationService.allProperties()) {
	if (str.getKey().equals(""au.com.vuse.oneid.fixtures.companyinputfile""))
		xml = str.getValue();
	}"
ISIS-1735,Improvement,Closed,[DUPLICATE] Bind action with property/collection by naming convention.,
ISIS-1734,Improvement,Closed,"[WON'T FIX] Enhance TitleService , return an enhanced TitleBuffer that uses TitleService for new appendTitleOf(...)","thus:

TitleBuffer buffer = titleService.newBuffer();"
ISIS-1733,Improvement,Closed,"Improve API of RepositoryService#persist, so returns the object being persisted.",Allows for more fluent coding.
ISIS-1732,Improvement,Open,"Document ""hidden"" as a supported method for services.","eg, in kitchensink, we have:

{code}
public abstract class RepositoryAbstract<T extends Entity> {

    private final Class<T> cls;

    public RepositoryAbstract(Class<T> cls, Visibility visibility) {
        this.cls = cls;
        this.visibility = visibility;
    }

    //region > visibility

    private final Visibility visibility;

    protected enum Visibility {
        VISIBLE,
        NOT_VISIBLE
    }

    public boolean hidden() {
        return this.visibility == Visibility.NOT_VISIBLE;
    }
    //endregion
 ....
{code}

and then:

{code}
@DomainService(
        repositoryFor = ChildObject.class
)
public class ChildObjects extends RepositoryAbstract<ChildObject> {

    public ChildObjects() {
        super(ChildObject.class, Visibility.NOT_VISIBLE);
    }

    public ChildObject create(
            final String name,
            final ParentObject parentObject) {
        return repositoryService.persist(ChildObject.create(name, parentObject));
    }

    public List<ChildObject> listAll() {
        return repositoryService.allInstances(ChildObject.class);
    }

}
{code}

if use super(...VISIBLE) then this service appears in the menu.  so, ""hidden()"" is a way of globally hiding an object (or a domain service, at least)."
ISIS-1731,Bug,Closed,@Property(hidden=Where.PARENTED_TABLES) does not render correctly in standalone collection view,"Having a tree-structure of a domain class _A_ with persistent parent child relationship, there seems to be an issue with rendering the parent property column, when asking for a standalone collection view (of a list of these objects). The +parent+ column is present, but the column's cells are empty. 

{code:java}
class A {

	@Property(hidden=Where.PARENTED_TABLES) 
	@Column(allowsNull=""true"")
	@Getter @Setter
	private A parent;
	
	@Property
	@Persistent(mappedBy=""parent"")
	@Getter @Setter 
	private SortedSet<A> children;
	
}
{code}

Strangely, if we switch to the excel view and download the collection, the cells of the parent column are filled in as expected. And this is no CSS issue (of hiding elements in the DOM), because there the corresponding HTML tags are actually empty."
ISIS-1730,Bug,Closed,Invoking an action button which was rendered enabled but which is actually disabled at point of invocation throws stacktrace.,"For example, if the domain object is rendered and then some other user changes its state such that an action is no longer available.

The framework *does* correctly re-check the state of the action, but if now found to be disabled then we get a stack trace rather than - say - a toast pop-up with the reason that the action can no longer be invoked."
ISIS-1729,Improvement,Closed,Auditer Service probably shouldn't submit records for an object that is [new] -> [deleted] ,"ie is created but then deleted in the same xactn.

eg
{code}
16:07:18,365 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:294 by estatio-admin, transitionType: [NEW] -> [DELETED]
16:07:18,365 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:294 by estatio-admin, task: [NEW] -> [DELETED]
16:07:18,366 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:294 by estatio-admin, createdOn: [NEW] -> [DELETED]
16:07:18,367 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:294 by estatio-admin, paymentBatch: [NEW] -> [DELETED]
16:07:18,367 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:294 by estatio-admin, fromState: [NEW] -> [DELETED]
16:07:18,368 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:294 by estatio-admin, toState: [NEW] -> [DELETED]
16:07:18,370 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:294 by estatio-admin, completed: [NEW] -> [DELETED]
16:07:18,370 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:294 by estatio-admin, completedBy: [NEW] -> [DELETED]
16:07:18,371 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:294 by estatio-admin, completedOn: [NEW] -> [DELETED]
16:07:18,372 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:294 by estatio-admin, comment: [NEW] -> [DELETED]
16:07:18,372 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentBatch:128 by estatio-admin, debtorBankAccount: [NEW] -> [DELETED]
16:07:18,373 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentBatch:128 by estatio-admin, createdOn: [NEW] -> [DELETED]
16:07:18,374 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentBatch:128 by estatio-admin, requestedExecutionDate: [NEW] -> [DELETED]
16:07:18,375 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentBatch:128 by estatio-admin, approvalState: [NEW] -> [DELETED]
16:07:18,375 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:295 by estatio-admin, transitionType: [NEW] -> [DELETED]
16:07:18,376 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:295 by estatio-admin, task: [NEW] -> [DELETED]
16:07:18,377 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:295 by estatio-admin, createdOn: [NEW] -> [DELETED]
16:07:18,377 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:295 by estatio-admin, paymentBatch: [NEW] -> [DELETED]
16:07:18,378 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:295 by estatio-admin, fromState: [NEW] -> [DELETED]
16:07:18,379 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:295 by estatio-admin, toState: [NEW] -> [DELETED]
16:07:18,379 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:295 by estatio-admin, completed: [NEW] -> [DELETED]
16:07:18,380 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:295 by estatio-admin, completedBy: [NEW] -> [DELETED]
16:07:18,381 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:295 by estatio-admin, completedOn: [NEW] -> [DELETED]
16:07:18,381 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: payment.PaymentApprovalStateTransition:295 by estatio-admin, comment: [NEW] -> [DELETED]
16:07:18,382 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: task.Task:4365 by estatio-admin, description: [NEW] -> [DELETED]
16:07:18,383 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: task.Task:4365 by estatio-admin, createdOn: [NEW] -> [DELETED]
16:07:18,384 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: task.Task:4365 by estatio-admin, transitionObjectType: [NEW] -> [DELETED]
16:07:18,384 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: task.Task:4365 by estatio-admin, assignedTo: [NEW] -> [DELETED]
16:07:18,385 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: task.Task:4365 by estatio-admin, personAssignedTo: [NEW] -> [DELETED]
16:07:18,386 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: task.Task:4365 by estatio-admin, completedBy: [NEW] -> [DELETED]
16:07:18,387 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: task.Task:4365 by estatio-admin, completedOn: [NEW] -> [DELETED]
16:07:18,387 [AuditerServiceLogging         ] 376bb280-73e6-490e-a6a3-b4ff95063229,0: task.Task:4365 by estatio-admin, comment: [NEW] -> [DELETED]
{code}"
